nome,apelido,data_nascimento,posicao,mao
Francisco,Sousa,2003-11-30,Guarda-Redes,Esquerda
José,Sousa,1998-07-14,Guarda-Redes,Direita
Manuel,Marques,1997-11-03,Ponta Esquerda,Direita
Marco,Carvalho,1992-10-12,Pivot,Direita
Rafael,Nunes,2003-01-11,Ponta Esquerda,Esquerda
Luís,Gomes,1998-01-24,Ponta Direita,Direita
Marco,Vieira,1998-09-28,Pivot,Direita
Ricardo,Costa,1998-02-10,Ponta Direita,Esquerda
Carlos,Silva,2000-07-24,Pivot,Direita
João,Fernandes,2004-05-26,Pivot,Esquerda
Hugo,Santos,1996-02-20,Lateral Direito,Esquerda
Rafael,Rodrigues,2004-11-05,Lateral Esquerdo,Esquerda
Marco,Silva,1990-05-11,Lateral Esquerdo,Esquerda
Hugo,Henriques,2001-11-17,Lateral Esquerdo,Esquerda
Nuno,Mendes,1990-02-28,Ponta Esquerda,Esquerda
Carlos,Rodrigues,1995-02-23,Lateral Direito,Esquerda
Paulo,Marques,2001-07-19,Lateral Direito,Esquerda
Jorge,Rocha,2003-08-27,Central,Esquerda
Luís,Lopes,1990-09-16,Ponta Direita,Esquerda
Gonçalo,Fernandes,1998-02-25,Ponta Direita,Direita
Eduardo,Pereira,2005-11-08,Guarda-Redes,Esquerda
Francisco,Monteiro,2005-08-12,Ponta Direita,Esquerda
Diogo,Santos,1991-03-04,Guarda-Redes,Direita
Fernando,Correia,2005-11-17,Ponta Esquerda,Esquerda
José,Dias,2004-05-15,Lateral Esquerdo,Esquerda
Vasco,Mendes,2001-03-30,Ponta Esquerda,Esquerda
Tomás,Fonseca,1999-03-19,Pivot,Direita
André,Costa,2005-01-08,Guarda-Redes,Direita
Rafael,Pereira,1992-04-30,Pivot,Esquerda
Miguel,Marques,1998-11-08,Ponta Direita,Direita
Vasco,Marques,1991-02-09,Ponta Direita,Direita
Luís,Monteiro,1992-10-27,Ponta Esquerda,Direita
Luís,Pereira,2005-07-31,Lateral Esquerdo,Esquerda
Tomás,Pereira,1993-06-20,Ponta Esquerda,Esquerda
Diogo,Rodrigues,1992-08-29,Ponta Direita,Esquerda
Vasco,Cardoso,2003-10-01,Pivot,Direita
Manuel,Oliveira,2003-01-18,Ponta Esquerda,Esquerda
Pedro,Fonseca,2001-01-13,Lateral Direito,Direita
António,Dias,2001-09-17,Lateral Esquerdo,Esquerda
Tiago,Henriques,1990-10-21,Lateral Direito,Esquerda
Rafael,Rodrigues,1997-10-25,Lateral Esquerdo,Direita
Gonçalo,Pereira,1998-02-02,Lateral Direito,Direita
Diogo,Lopes,2004-01-19,Ponta Esquerda,Esquerda
Gonçalo,Costa,1998-10-24,Pivot,Direita
Ricardo,Pinto,2005-07-19,Guarda-Redes,Esquerda
André,Pereira,1998-06-30,Central,Esquerda
David,Fonseca,1992-03-10,Central,Direita
Rui,Dias,1995-12-06,Lateral Esquerdo,Direita
Marco,Martins,2001-10-16,Ponta Direita,Direita
Jorge,Monteiro,1991-12-28,Guarda-Redes,Esquerda
Vasco,Cardoso,2000-05-26,Ponta Direita,Direita
Manuel,Reis,1997-10-30,Lateral Esquerdo,Direita
Rafael,Ribeiro,1998-01-12,Lateral Direito,Esquerda
David,Ferreira,2002-03-10,Central,Esquerda
Bruno,Gomes,1995-12-10,Pivot,Direita
Guilherme,Monteiro,2000-05-16,Guarda-Redes,Direita
António,Silva,2003-01-31,Lateral Esquerdo,Direita
Jorge,Nunes,2002-11-30,Guarda-Redes,Esquerda
Vasco,Reis,1990-10-10,Central,Direita
Ricardo,Pereira,1993-06-28,Central,Esquerda
Daniel,Almeida,2002-02-26,Ponta Direita,Esquerda
David,Fernandes,1997-02-26,Central,Esquerda
Tiago,Ferreira,1999-06-26,Lateral Direito,Direita
Guilherme,Ribeiro,1993-05-11,Ponta Direita,Esquerda
Francisco,Henriques,1994-02-05,Guarda-Redes,Direita
Gonçalo,Mendes,2004-10-06,Lateral Esquerdo,Esquerda
Tiago,Fonseca,2003-09-24,Ponta Direita,Esquerda
André,Silva,1996-12-22,Guarda-Redes,Esquerda
Pedro,Gomes,2002-04-20,Guarda-Redes,Esquerda
Manuel,Dias,2004-10-01,Lateral Direito,Direita
David,Rodrigues,1996-08-22,Lateral Direito,Esquerda
António,Dias,1997-02-27,Lateral Esquerdo,Esquerda
Tiago,Martins,2002-12-02,Lateral Direito,Direita
Paulo,Teixeira,2004-02-06,Lateral Esquerdo,Esquerda
João,Vieira,1999-01-27,Guarda-Redes,Esquerda
Jorge,Rocha,2002-04-07,Ponta Esquerda,Direita
Guilherme,Guerreiro,1990-10-21,Guarda-Redes,Direita
Bruno,Reis,2005-01-25,Ponta Esquerda,Esquerda
José,Gomes,1997-05-13,Ponta Direita,Direita
Hugo,Correia,2003-02-20,Ponta Direita,Esquerda
Gabriel,Fonseca,1997-07-26,Ponta Esquerda,Direita
Diogo,Mendes,1998-01-16,Lateral Direito,Direita
Jorge,Pereira,2001-02-14,Guarda-Redes,Esquerda
André,Correia,1992-04-23,Ponta Esquerda,Esquerda
André,Fonseca,1999-02-03,Guarda-Redes,Direita
Gabriel,Monteiro,1999-10-01,Ponta Direita,Direita
Manuel,Correia,2002-01-18,Central,Esquerda
Tiago,Lopes,1999-10-05,Central,Esquerda
Marco,Fernandes,2004-09-08,Ponta Direita,Direita
Jorge,Monteiro,2002-06-26,Lateral Esquerdo,Direita
Miguel,Gomes,1996-11-25,Central,Direita
João,Gomes,1992-07-13,Ponta Esquerda,Esquerda
David,Carvalho,1994-12-06,Ponta Direita,Direita
David,Sousa,1992-04-23,Lateral Direito,Esquerda
Paulo,Reis,1995-09-26,Lateral Esquerdo,Esquerda
Gabriel,Pinto,1993-10-22,Guarda-Redes,Direita
Vasco,Rocha,1993-02-16,Central,Esquerda
Daniel,Gomes,1996-10-05,Central,Direita
Daniel,Santos,1993-03-09,Ponta Esquerda,Direita
Pedro,Reis,2000-12-19,Lateral Direito,Direita
José,Guerreiro,1993-11-01,Lateral Direito,Direita
Rui,Teixeira,2005-04-15,Lateral Esquerdo,Esquerda
Tiago,Gomes,2002-04-04,Guarda-Redes,Esquerda
David,Fonseca,1999-07-05,Lateral Esquerdo,Direita
Vasco,Lopes,2002-01-15,Pivot,Esquerda
Tiago,Fernandes,1992-09-29,Ponta Esquerda,Esquerda
Eduardo,Costa,1994-09-20,Ponta Direita,Esquerda
Eduardo,Gomes,1998-09-05,Central,Direita
Nuno,Vieira,2001-01-13,Guarda-Redes,Esquerda
André,Guerreiro,1998-03-14,Lateral Direito,Esquerda
Bruno,Nunes,1996-11-17,Ponta Direita,Esquerda
Bruno,Lopes,1997-08-26,Ponta Direita,Esquerda
Miguel,Rocha,2002-03-08,Lateral Esquerdo,Esquerda
Gabriel,Nunes,2005-04-21,Ponta Direita,Direita
Miguel,Fernandes,1993-03-11,Lateral Direito,Esquerda
Luís,Rodrigues,1992-11-01,Lateral Direito,Esquerda
Fernando,Almeida,1993-01-01,Central,Esquerda
André,Teixeira,2000-04-26,Lateral Esquerdo,Direita
Miguel,Mendes,1991-08-03,Ponta Direita,Esquerda
Carlos,Oliveira,2005-12-06,Ponta Esquerda,Esquerda
João,Henriques,1994-01-13,Ponta Direita,Direita
Luís,Pinto,1996-07-16,Guarda-Redes,Direita
Carlos,Pinto,2003-07-29,Central,Direita
Eduardo,Cardoso,1993-10-10,Pivot,Direita
Vasco,Martins,1998-06-24,Lateral Direito,Esquerda
Guilherme,Henriques,2002-02-10,Lateral Direito,Direita
Rafael,Cardoso,1994-10-24,Lateral Direito,Direita
João,Gomes,1999-04-15,Lateral Direito,Esquerda
Guilherme,Lopes,2000-03-31,Central,Esquerda
Diogo,Marques,1999-10-19,Ponta Direita,Direita
Eduardo,Silva,2004-12-02,Ponta Direita,Direita
Carlos,Ferreira,2003-02-17,Ponta Esquerda,Esquerda
Gonçalo,Oliveira,1998-08-24,Central,Direita
Carlos,Ferreira,1991-07-10,Ponta Direita,Direita
Pedro,Pinto,1997-01-11,Pivot,Direita
Guilherme,Henriques,2002-11-07,Central,Esquerda
Fernando,Ribeiro,2003-12-02,Lateral Esquerdo,Esquerda
Miguel,Sousa,2002-02-25,Ponta Direita,Direita
Eduardo,Cardoso,1992-08-25,Ponta Direita,Esquerda
Carlos,Lopes,1997-04-01,Ponta Direita,Esquerda
Fernando,Gomes,1992-06-19,Guarda-Redes,Direita
José,Fonseca,2003-10-22,Pivot,Esquerda
Carlos,Ferreira,1992-11-30,Ponta Direita,Esquerda
Daniel,Lopes,2000-01-06,Pivot,Esquerda
Carlos,Silva,1990-10-01,Central,Direita
Hugo,Martins,1994-09-17,Lateral Esquerdo,Esquerda
Marco,Fernandes,1995-05-17,Ponta Esquerda,Direita
Manuel,Fonseca,2005-04-03,Pivot,Direita
Francisco,Henriques,2001-02-15,Central,Direita
Eduardo,Sousa,1991-02-21,Ponta Esquerda,Esquerda
Luís,Sousa,2005-02-06,Pivot,Direita
João,Martins,2000-10-03,Ponta Direita,Esquerda
Pedro,Silva,1997-04-25,Guarda-Redes,Direita
Bruno,Fonseca,2002-07-17,Ponta Direita,Direita
Vasco,Ferreira,2000-02-28,Central,Direita
Jorge,Fernandes,1992-06-18,Ponta Esquerda,Esquerda
Marco,Guerreiro,1995-06-27,Pivot,Direita
Jorge,Rodrigues,1997-06-22,Pivot,Direita
Manuel,Nunes,2001-07-30,Central,Direita
Jorge,Teixeira,1991-12-16,Lateral Esquerdo,Direita
Jorge,Fernandes,2002-10-23,Guarda-Redes,Direita
Carlos,Fernandes,2005-09-13,Central,Esquerda
Jorge,Nunes,2005-05-22,Central,Direita
Daniel,Carvalho,2003-03-27,Guarda-Redes,Direita
Francisco,Lopes,2001-05-21,Guarda-Redes,Direita
Ricardo,Rocha,2005-10-27,Lateral Direito,Direita
Carlos,Vieira,1995-12-05,Guarda-Redes,Esquerda
Francisco,Martins,2004-02-27,Ponta Esquerda,Esquerda
Ricardo,Cardoso,1996-04-09,Lateral Direito,Direita
Tomás,Sousa,2002-03-16,Lateral Direito,Esquerda
Tomás,Correia,2003-04-17,Ponta Direita,Direita
António,Costa,2001-06-18,Lateral Direito,Esquerda
Manuel,Pinto,1998-05-01,Ponta Esquerda,Direita
Francisco,Ribeiro,1995-10-12,Ponta Esquerda,Direita
André,Rodrigues,2003-11-27,Pivot,Direita
Jorge,Marques,1993-04-04,Guarda-Redes,Direita
Miguel,Santos,1992-01-24,Guarda-Redes,Esquerda
Carlos,Santos,2002-04-03,Lateral Direito,Direita
Paulo,Dias,1996-06-19,Lateral Direito,Esquerda
Marco,Pinto,1995-04-02,Pivot,Direita
Jorge,Sousa,2002-02-21,Lateral Direito,Esquerda
Eduardo,Nunes,1990-06-06,Central,Direita
Miguel,Silva,2000-03-11,Ponta Direita,Direita
Francisco,Fernandes,2005-08-27,Central,Esquerda
Hugo,Correia,1998-08-18,Ponta Esquerda,Direita
João,Vieira,1991-01-12,Lateral Direito,Direita
Gonçalo,Gomes,2000-12-18,Central,Direita
Guilherme,Sousa,2004-08-05,Lateral Esquerdo,Esquerda
Pedro,Correia,2003-04-04,Lateral Esquerdo,Esquerda
Guilherme,Gomes,1999-04-05,Pivot,Esquerda
Gabriel,Martins,2003-02-12,Ponta Esquerda,Direita
Pedro,Martins,1995-03-16,Lateral Esquerdo,Direita
Marco,Rodrigues,1995-11-08,Guarda-Redes,Esquerda
Vasco,Nunes,2002-08-21,Ponta Direita,Direita
Jorge,Lopes,2005-06-06,Lateral Esquerdo,Esquerda
Eduardo,Reis,2000-12-19,Lateral Direito,Direita
Tiago,Marques,1996-09-12,Guarda-Redes,Esquerda
António,Fonseca,2002-10-10,Lateral Direito,Direita
David,Marques,2001-10-02,Lateral Esquerdo,Esquerda
Gonçalo,Mendes,1995-11-04,Lateral Direito,Direita
David,Vieira,1996-07-25,Guarda-Redes,Esquerda
Carlos,Reis,2004-12-06,Guarda-Redes,Direita
Nuno,Gomes,1998-10-26,Lateral Direito,Esquerda
Marco,Oliveira,1993-03-07,Lateral Direito,Esquerda
Rafael,Teixeira,2000-06-01,Ponta Direita,Esquerda
Rafael,Carvalho,1995-05-26,Guarda-Redes,Direita
Diogo,Rocha,2005-04-14,Pivot,Direita
Gonçalo,Marques,2000-06-18,Central,Direita
Vasco,Martins,1997-04-23,Ponta Direita,Direita
Gabriel,Fernandes,1991-01-31,Ponta Esquerda,Direita
João,Nunes,1991-04-10,Pivot,Esquerda
Francisco,Reis,2001-06-04,Central,Direita
Miguel,Vieira,1992-03-17,Guarda-Redes,Esquerda
André,Reis,1991-03-06,Lateral Direito,Direita
Pedro,Mendes,1990-08-30,Lateral Esquerdo,Direita
Manuel,Correia,2003-02-18,Ponta Direita,Esquerda
Rui,Mendes,1999-10-03,Guarda-Redes,Esquerda
Gabriel,Oliveira,2003-04-22,Lateral Esquerdo,Direita
Miguel,Monteiro,1992-12-06,Ponta Esquerda,Esquerda
Francisco,Correia,1990-01-04,Guarda-Redes,Esquerda
Manuel,Pinto,1993-02-14,Ponta Direita,Esquerda
Gonçalo,Correia,1993-03-15,Lateral Direito,Esquerda
Fernando,Sousa,1998-04-21,Central,Direita
Tomás,Henriques,1994-02-05,Ponta Direita,Esquerda
André,Vieira,1995-01-24,Central,Esquerda
Nuno,Rocha,1992-03-22,Guarda-Redes,Direita
Guilherme,Marques,2004-09-16,Guarda-Redes,Esquerda
Gonçalo,Correia,2005-04-27,Guarda-Redes,Esquerda
Nuno,Gomes,2002-09-24,Guarda-Redes,Direita
Daniel,Costa,1996-06-03,Guarda-Redes,Esquerda
Manuel,Monteiro,2004-05-09,Central,Direita
Ricardo,Mendes,1993-11-05,Ponta Direita,Esquerda
Fernando,Martins,2004-01-01,Ponta Esquerda,Esquerda
Fernando,Reis,2003-06-11,Central,Esquerda
Rui,Oliveira,2003-08-17,Central,Esquerda
Jorge,Guerreiro,1993-07-25,Ponta Direita,Esquerda
Francisco,Fernandes,1992-02-09,Lateral Esquerdo,Direita
Carlos,Guerreiro,2004-02-05,Ponta Esquerda,Esquerda
Gabriel,Almeida,1990-07-12,Pivot,Esquerda
Jorge,Fernandes,1995-03-13,Lateral Esquerdo,Direita
David,Oliveira,1992-12-29,Lateral Direito,Direita
Ricardo,Marques,2002-07-03,Central,Esquerda
Francisco,Almeida,1994-05-08,Ponta Direita,Direita
Pedro,Teixeira,1999-09-02,Lateral Direito,Direita
Guilherme,Martins,1992-05-07,Lateral Esquerdo,Esquerda
Eduardo,Martins,1997-08-27,Lateral Direito,Direita
Bruno,Dias,2000-12-31,Lateral Direito,Esquerda
João,Sousa,1993-02-17,Ponta Esquerda,Direita
Nuno,Pinto,1998-04-04,Guarda-Redes,Direita
Rui,Dias,2001-10-21,Lateral Direito,Esquerda
Vasco,Lopes,1995-05-25,Pivot,Esquerda
Ricardo,Marques,1992-04-06,Lateral Esquerdo,Esquerda
André,Almeida,1991-10-02,Pivot,Direita
Luís,Cardoso,1997-05-08,Lateral Direito,Esquerda
Carlos,Silva,1992-08-24,Ponta Esquerda,Direita
Gabriel,Lopes,2000-07-24,Guarda-Redes,Esquerda
José,Rodrigues,1999-01-17,Central,Direita
Jorge,Rodrigues,1992-08-09,Lateral Direito,Direita
Daniel,Rocha,1994-05-02,Lateral Esquerdo,Esquerda
André,Marques,1990-02-23,Central,Esquerda
Marco,Sousa,2004-11-26,Ponta Esquerda,Esquerda
Rafael,Oliveira,2005-03-14,Lateral Direito,Direita
Gonçalo,Gomes,1997-12-06,Ponta Esquerda,Esquerda
Nuno,Rodrigues,1992-01-08,Pivot,Esquerda
Guilherme,Ferreira,1996-02-10,Guarda-Redes,Direita
Diogo,Reis,2003-10-29,Ponta Direita,Esquerda
Gonçalo,Silva,1997-09-03,Ponta Esquerda,Esquerda
Gonçalo,Lopes,1991-12-13,Ponta Esquerda,Esquerda
Fernando,Ferreira,1997-04-27,Guarda-Redes,Esquerda
Daniel,Ferreira,2004-08-21,Lateral Esquerdo,Esquerda
Diogo,Marques,1998-05-12,Guarda-Redes,Direita
Manuel,Rodrigues,1997-02-21,Central,Esquerda
Diogo,Dias,2003-04-28,Ponta Direita,Esquerda
Tomás,Santos,1996-04-26,Ponta Direita,Direita
Miguel,Ferreira,1999-03-02,Central,Esquerda
Francisco,Rocha,2000-02-22,Ponta Direita,Direita
Tiago,Henriques,1997-05-26,Guarda-Redes,Direita
Paulo,Guerreiro,1993-11-06,Lateral Esquerdo,Direita
Marco,Pereira,2002-06-16,Lateral Direito,Esquerda
Tiago,Martins,2003-11-23,Central,Direita
Gonçalo,Fernandes,1997-05-11,Lateral Esquerdo,Direita
Jorge,Fonseca,2001-05-09,Lateral Esquerdo,Direita
Daniel,Silva,2003-03-08,Pivot,Direita
António,Martins,2001-06-13,Guarda-Redes,Esquerda
Gonçalo,Ribeiro,1991-10-10,Lateral Esquerdo,Direita
Nuno,Monteiro,2000-08-26,Ponta Esquerda,Direita
Francisco,Gomes,1998-10-23,Ponta Direita,Esquerda
Diogo,Dias,1999-05-11,Pivot,Direita
António,Gomes,2001-08-12,Ponta Esquerda,Esquerda
Hugo,Sousa,1990-04-02,Pivot,Direita
Carlos,Oliveira,1990-09-05,Guarda-Redes,Direita
Fernando,Dias,2001-09-07,Pivot,Direita
Eduardo,Vieira,1998-03-02,Ponta Direita,Esquerda
Hugo,Fonseca,2004-11-27,Lateral Esquerdo,Direita
Ricardo,Reis,1996-01-01,Pivot,Esquerda
